ancestry,n,callsets,max_eta2_before,worst_pc_before,max_eta2_after,worst_pc_after,reduction
AJ,1518,5,0.9835593441051456,PC1,0.9618559918884054,PC1,0.02206613393164003
AAC,226,4,0.8772196975691592,PC2,0.8763125349538551,PC2,0.0010341338866625138
EUR,10135,5,0.7569880232497246,PC2,0.035832590966243714,PC6,0.9526642564139712
AFR,191,4,0.7083795507648541,PC1,0.7129049635401637,PC1,-0.00638840120444395
CAH,106,4,0.3091449752622575,PC4,0.1991542607189906,PC4,0.35579007696941634
AMR,185,4,0.2029500618493818,PC8,0.17039602489481992,PC8,0.1604041736076024
